tinh,huyen,xa,diaban,hoso
823.0,1.0,1.0,8.0,3.0
823.0,1.0,1.0,8.0,14.0
823.0,1.0,1.0,8.0,13.0
823.0,1.0,1.0,8.0,15.0
823.0,1.0,1.0,8.0,4.0
823.0,1.0,1.0,8.0,16.0
823.0,1.0,1.0,8.0,5.0
823.0,1.0,1.0,8.0,7.0
823.0,1.0,1.0,8.0,6.0
823.0,1.0,1.0,8.0,8.0
823.0,1.0,1.0,8.0,10.0
823.0,1.0,1.0,8.0,11.0
823.0,1.0,1.0,8.0,18.0
823.0,1.0,1.0,8.0,17.0
823.0,1.0,1.0,8.0,21.0
823.0,1.0,5.0,2.0,1.0
823.0,1.0,5.0,2.0,2.0
823.0,1.0,5.0,2.0,3.0
823.0,1.0,5.0,2.0,4.0
823.0,1.0,5.0,2.0,5.0
823.0,1.0,5.0,2.0,6.0
823.0,1.0,5.0,2.0,7.0
823.0,1.0,5.0,2.0,8.0
823.0,1.0,5.0,2.0,9.0
823.0,1.0,5.0,2.0,10.0
823.0,1.0,5.0,2.0,11.0
823.0,1.0,5.0,2.0,12.0
823.0,1.0,5.0,2.0,13.0
823.0,1.0,5.0,2.0,14.0
823.0,1.0,5.0,2.0,15.0
823.0,1.0,9.0,25.0,8.0
823.0,1.0,9.0,25.0,19.0
823.0,1.0,9.0,25.0,20.0
823.0,1.0,9.0,25.0,13.0
823.0,1.0,9.0,25.0,7.0
823.0,1.0,9.0,25.0,2.0
823.0,1.0,9.0,25.0,12.0
823.0,1.0,9.0,25.0,3.0
823.0,1.0,9.0,25.0,4.0
823.0,1.0,9.0,25.0,9.0
823.0,1.0,9.0,25.0,1.0
823.0,1.0,9.0,25.0,10.0
823.0,1.0,9.0,25.0,5.0
823.0,1.0,9.0,25.0,11.0
823.0,1.0,9.0,25.0,6.0
823.0,1.0,11.0,9.0,1.0
823.0,1.0,11.0,9.0,10.0
823.0,1.0,11.0,9.0,5.0
823.0,1.0,11.0,9.0,12.0
823.0,1.0,11.0,9.0,15.0
823.0,1.0,11.0,9.0,6.0
823.0,1.0,11.0,9.0,4.0
823.0,1.0,11.0,9.0,13.0
823.0,1.0,11.0,9.0,14.0
823.0,1.0,11.0,9.0,9.0
823.0,1.0,11.0,9.0,11.0
823.0,1.0,11.0,9.0,7.0
823.0,1.0,11.0,9.0,8.0
823.0,1.0,11.0,9.0,3.0
823.0,1.0,11.0,9.0,2.0
823.0,1.0,13.0,25.0,2.0
823.0,1.0,13.0,25.0,9.0
823.0,1.0,13.0,25.0,16.0
823.0,1.0,13.0,25.0,3.0
823.0,1.0,13.0,25.0,6.0
823.0,1.0,13.0,25.0,17.0
823.0,1.0,13.0,25.0,4.0
823.0,1.0,13.0,25.0,5.0
823.0,1.0,13.0,25.0,13.0
823.0,1.0,13.0,25.0,14.0
823.0,1.0,13.0,25.0,20.0
823.0,1.0,13.0,25.0,7.0
823.0,1.0,13.0,25.0,10.0
823.0,1.0,13.0,25.0,11.0
823.0,1.0,13.0,25.0,12.0
823.0,1.0,17.0,14.0,12.0
823.0,1.0,17.0,14.0,9.0
823.0,1.0,17.0,14.0,3.0
823.0,1.0,17.0,14.0,10.0
823.0,1.0,17.0,14.0,8.0
823.0,1.0,17.0,14.0,7.0
823.0,1.0,17.0,14.0,11.0
823.0,1.0,17.0,14.0,14.0
823.0,1.0,17.0,14.0,13.0
823.0,1.0,17.0,14.0,15.0
823.0,1.0,17.0,14.0,1.0
823.0,1.0,17.0,14.0,2.0
823.0,1.0,17.0,14.0,5.0
823.0,1.0,17.0,14.0,4.0
823.0,1.0,17.0,14.0,6.0
823.0,1.0,19.0,20.0,2.0
823.0,1.0,19.0,20.0,15.0
823.0,1.0,19.0,20.0,13.0
823.0,1.0,19.0,20.0,14.0
823.0,1.0,19.0,20.0,12.0
823.0,1.0,19.0,20.0,11.0
823.0,1.0,19.0,20.0,6.0
823.0,1.0,19.0,20.0,5.0
823.0,1.0,19.0,20.0,4.0
823.0,1.0,19.0,20.0,3.0
823.0,1.0,19.0,20.0,1.0
823.0,1.0,19.0,20.0,7.0
823.0,1.0,19.0,20.0,8.0
823.0,1.0,19.0,20.0,9.0
823.0,1.0,19.0,20.0,10.0
823.0,1.0,21.0,8.0,1.0
823.0,1.0,21.0,8.0,2.0
823.0,1.0,21.0,8.0,4.0
823.0,1.0,21.0,8.0,5.0
823.0,1.0,21.0,8.0,6.0
823.0,1.0,21.0,8.0,7.0
823.0,1.0,21.0,8.0,8.0
823.0,1.0,21.0,8.0,9.0
823.0,1.0,21.0,8.0,10.0
823.0,1.0,21.0,8.0,11.0
823.0,1.0,21.0,8.0,12.0
823.0,1.0,21.0,8.0,13.0
