hoso_1,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
3,779.0,0.0,0.0,32966.0,0.0,0.0,0.0,5623.0,0.0,0,1900,0
101,261.0,0.0,0.0,49126.0,0.0,0.0,0.0,1285.0,0.0,0,600,0
14,1143.0,1143.0,0.0,22199.0,22199.0,0.0,0.0,6418.0,6368.0,50,1880,0
13,1861.5,1861.5,0.0,57600.0,57600.0,0.0,0.0,11482.0,11482.0,0,5400,40200
15,901.0,811.0,90.0,13970.0,13810.0,160.0,0.0,3727.0,3581.0,146,1950,353
102,1352.0,0.0,0.0,20557.5,0.0,0.0,0.0,5676.0,0.0,0,2120,4000
103,704.0,0.0,0.0,12584.0,0.0,0.0,0.0,2208.0,0.0,0,2235,0
4,1533.5,0.0,0.0,44983.0,0.0,0.0,0.0,11400.0,0.0,0,1560,70000
16,971.0,0.0,0.0,11841.0,0.0,0.0,0.0,3460.0,0.0,0,1360,0
5,1052.0,0.0,0.0,14800.4,0.0,0.0,0.0,5294.0,0.0,0,1410,360
7,598.5,0.0,0.0,14426.0,0.0,0.0,0.0,3870.0,0.0,0,1630,0
6,1076.0,0.0,0.0,18909.5,0.0,0.0,0.0,4737.0,0.0,0,2410,0
8,768.0,0.0,0.0,23645.0,0.0,0.0,0.0,7832.0,0.0,0,1610,0
10,1275.0,0.0,0.0,13763.0,0.0,0.0,0.0,6514.0,0.0,0,19440,0
11,481.5,0.0,0.0,12353.0,0.0,0.0,0.0,5720.0,0.0,0,3575,135
18,804.0,0.0,0.0,16717.0,0.0,0.0,0.0,3480.0,0.0,0,3880,200
17,791.0,0.0,0.0,17520.0,0.0,0.0,0.0,4777.0,0.0,0,1420,196
21,904.0,0.0,0.0,21294.5,0.0,0.0,0.0,2740.0,0.0,0,645,620
1,1774.5,0.0,0.0,60556.0,0.0,0.0,0.0,6132.0,0.0,0,18160,0
2,1395.0,0.0,0.0,18722.0,0.0,0.0,0.0,4069.0,0.0,0,2105,0
3,1559.0,0.0,0.0,31921.0,0.0,0.0,0.0,4350.0,0.0,0,2790,0
4,947.0,0.0,0.0,15063.6,0.0,0.0,0.0,3473.0,0.0,0,1940,0
5,140.0,0.0,0.0,1848.0,0.0,0.0,0.0,65.0,0.0,0,0,0
6,830.0,0.0,0.0,11195.0,0.0,0.0,0.0,1969.0,0.0,0,1250,0
7,713.5,0.0,0.0,16925.0,0.0,0.0,0.0,2842.0,0.0,0,1730,8240
8,1133.5,0.0,0.0,18520.0,0.0,0.0,0.0,4314.0,0.0,0,4780,0
9,682.5,0.0,0.0,18091.0,0.0,0.0,0.0,3166.0,0.0,0,33050,5400
10,1048.0,0.0,0.0,24197.0,0.0,0.0,0.0,4780.0,0.0,0,340,0
11,759.0,0.0,0.0,15948.0,0.0,0.0,0.0,2490.0,0.0,0,1350,0
12,314.0,0.0,0.0,10116.0,0.0,0.0,0.0,1785.0,0.0,0,520,0
103,1310.0,0.0,0.0,35211.0,0.0,0.0,0.0,6211.0,0.0,0,2168,0
101,2107.0,0.0,0.0,23843.0,0.0,0.0,0.0,7228.0,0.0,0,60370,0
102,890.5,0.0,0.0,20000.0,0.0,0.0,0.0,3628.0,0.0,0,1380,0
13,1739.0,969.0,770.0,13592.0,13286.0,306.0,0.0,2799.0,2669.0,130,3678,0
14,1330.0,1330.0,0.0,17824.0,17824.0,0.0,0.0,3570.0,3570.0,0,3700,70
15,566.0,566.0,0.0,14914.0,14914.0,0.0,0.0,3715.0,3715.0,0,2250,0
9,2320.0,0.0,0.0,34645.5,0.0,0.0,0.0,12337.0,0.0,0,7810,0
4,240.0,0.0,0.0,5962.5,0.0,0.0,0.0,93.0,0.0,0,900,0
3,1490.0,0.0,0.0,26981.5,0.0,0.0,0.0,5321.0,0.0,0,5260,0
5,2009.0,0.0,0.0,47945.5,0.0,0.0,0.0,32368.0,0.0,0,9450,0
2,1974.0,0.0,0.0,52967.0,0.0,0.0,0.0,23912.0,0.0,0,129430,0
8,2915.0,0.0,0.0,53179.0,0.0,0.0,0.0,14459.0,0.0,0,4400,0
7,1276.0,0.0,0.0,27830.0,0.0,0.0,0.0,4585.0,0.0,0,650,0
6,1344.0,0.0,0.0,41781.8,0.0,0.0,0.0,6778.0,0.0,0,4820,0
10,659.0,0.0,0.0,13296.0,0.0,0.0,0.0,776.0,0.0,0,2410,0
11,1246.0,0.0,0.0,39284.0,0.0,0.0,0.0,11600.0,0.0,0,1950,0
12,1307.0,0.0,0.0,28631.0,0.0,0.0,0.0,5090.0,0.0,0,2670,0
