Thời gian,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
2024,+8.64%,+9.08%,+0.49%,-4.82%,+0.09%,-1.66%,+5.05%,+2.81%,+3.02%,-0.80%,-2.01%,+1.91%
2023,+13.34%,-5.62%,+4.68%,-1.40%,+2.18%,+5.17%,+6.93%,+0.55%,-3.59%,-5.90%,+2.58%,+2.65%
2022,+8.41%,-4.24%,-1.42%,-8.78%,-7.04%,-6.88%,+4.32%,+6.30%,-13.26%,-4.80%,+5.86%,+0.59%
2021,-7.02%,+14.34%,+6.58%,+6.13%,+20.42%,+3.06%,-9.89%,-3.09%,+0.22%,+3.40%,+4.87%,+3.36%
2020,+3.10%,-1.54%,-28.02%,+13.65%,+16.25%,-4.38%,-3.57%,+12.91%,+4.38%,+0.39%,+11.60%,+13.07%
2019,+2.21%,+3.24%,+5.58%,-2.03%,-3.57%,+0.38%,+7.76%,+0.70%,+4.68%,+3.70%,-2.44%,+5.23%
2018,+29.29%,+10.64%,+2.74%,-13.57%,-11.07%,-6.87%,-1.75%,+6.81%,+2.94%,-11.64%,-0.71%,-2.38%
2017,+15.01%,-2.05%,+2.72%,-2.81%,+7.38%,+8.60%,+0.98%,-3.57%,+1.59%,+5.15%,+15.82%,+4.19%
2016,-8.75%,+1.45%,-3.70%,+5.84%,+4.34%,-1.99%,+6.57%,-2.59%,-2.20%,-2.75%,-3.87%,-1.00%
2015,+18.50%,+4.97%,-7.00%,+2.76%,+11.99%,+8.64%,+8.08%,-12.30%,+1.90%,+5.57%,-11.18%,+2.92%
2014,+6.64%,+3.98%,-0.56%,-6.49%,-0.74%,+2.42%,-1.11%,+3.71%,-4.52%,+1.95%,-2.95%,+4.99%
2013,+16.35%,-5.48%,-3.26%,-5.66%,+6.47%,-1.00%,-3.29%,-2.13%,+2.64%,+3.64%,-0.81%,-4.30%
2012,+16.88%,+14.28%,+7.33%,+7.32%,-5.49%,-1.38%,-0.40%,-11.59%,-5.54%,-3.13%,+0.57%,+13.38%
2011,+4.02%,-3.99%,+0.45%,-3.98%,-3.92%,-0.19%,+4.81%,+1.43%,-1.19%,-3.36%,-9.17%,-0.76%
2010,-7.71%,+11.15%,-7.00%,-1.43%,-4.65%,+1.58%,-4.81%,-5.83%,-1.15%,-4.70%,-4.40%,+17.10%
